freguesia,n_estacionamentos,capacidade_total,num_suportes_total,capacidade_media,km_rede_ciclavel,n_segmentos_ciclavel,estac_por_km_ciclavel,capacidade_por_km_ciclavel
Ajuda,42,402,85,9.57,7.167,11,5.86,56.09
Alcântara,72,711,161,9.88,20.695,37,3.48,34.36
Alvalade,238,1904,766,8,16.737,74,14.22,113.76
Areeiro,93,790,363,8.49,8.66,56,10.74,91.22
Arroios,134,1016,369,7.64,6.515,15,20.57,155.95
Avenidas Novas,228,1874,598,8.4,28.598,146,7.97,65.53
Beato,39,347,69,9.13,5.526,29,7.06,62.79
Belém,94,783,290,8.33,17.72,23,5.3,44.19
Benfica,96,836,195,8.71,41.246,83,2.33,20.27
Campo de Ourique,67,596,132,8.9,5.36,29,12.5,111.19
Campolide,71,801,245,11.44,17.853,81,3.98,44.87
Carnide,48,342,126,7.28,9.788,49,4.9,34.94
Estrela,83,715,132,8.61,4.129,7,20.1,173.17
Lumiar,166,1337,548,8.05,15.429,62,10.76,86.66
Marvila,122,1087,263,8.91,18.787,75,6.49,57.86
Misericórdia,64,586,149,9.3,1.514,8,42.27,387.05
Olivais,116,1055,240,9.09,19.3,56,6.01,54.66
Parque das Nações,109,1144,356,10.59,18.417,100,5.92,62.12
Penha de França,38,293,103,7.92,1.022,4,37.18,286.69
Santa Clara,43,344,65,8.19,4.199,29,10.24,81.92
Santa Maria Maior,34,265,115,7.79,3.361,14,10.12,78.85
Santo António,90,797,195,8.86,2.831,7,31.79,281.53
São Domingos de Benfica,104,759,315,7.3,12.628,27,8.24,60.1
São Vicente,18,138,55,8.12,0.903,2,19.93,152.82
