OBJECTID,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESP,FREGUESIA,COMPRIMENTO,COMP_KM
146890,0112,Rua de Nossa Senhora do Amparo,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,156.68,0.15667978
146891,0112,Rua do Parque,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,277.06,0.27705932
146892,0112,Estrada de A-da-Maia,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,82.95,0.08295168
146893,0112,Rua Jaime Brasil,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,64.57000000000001,0.06456571
146894,0112,Rua Olivério Serpa,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,139.51,0.1395072
146895,0112,Rua Olivério Serpa,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,141.21,0.1412127
146896,0112,Rua de Nossa Senhora do Amparo,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,158.43,0.15843338
147201,0112,Rua João Frederico Ludovice,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,152.26,0.15226408
147202,0112,Rua de Emília das Neves,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,279.08,0.27907909000000003
147203,0112,Rua João Frederico Ludovice,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,319.73,0.31973466
147204,0112,Rua Olivério Serpa,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,204.38,0.20438007
147205,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,16.61,0.016614030000000002
147206,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,23.580000000000002,0.02358311
147207,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,20.48,0.020476150000000002
147208,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,3.31,0.00330929
147209,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,12.51,0.01250833
147210,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,7.04,0.00703883
147211,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,23.78,0.0237845
147212,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,13.82,0.01382306
147213,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,2.85,0.00285121
147214,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,7.74,0.00774313
147215,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,38.54,0.038536060000000004
147216,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,31.91,0.03191207
147217,0041,Passeio do Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,Parque das Nações,365,0.36500376
147218,0041,Ponte Ciclopedonal sobre o Rio Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Principal,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,,166.78,0.16678172
147219,0041,Passeio do Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,Parque das Nações,116.45,0.11645041
147220,0177,Alameda das Linhas de Torres-Rua Cipriano Dourado,Alameda das Linhas de Torres,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Lumiar,1634.9,1.6348969800000002
147221,0143,Avenida de Berlim,Avenida de Berlim - Fase 2,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Olivais,41.980000000000004,0.0419753
147222,0143,Avenida de Berlim,Avenida de Berlim - Fase 2,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Parque das Nações,49.17,0.04916673
147223,0294,Santa Apolónia - Parque das Nações,T22 - Santa Apolónia - Parque das Nações,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2013,CML/DMEVAE,Marvila,383.02,0.3830204
147224,0265,Avenida Infante Dom Henrique,Loteamento Braço de Prata,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2018,CML,Marvila,105.27,0.10527468
147225,0265,Avenida Infante Dom Henrique,Loteamento Braço de Prata,Complementar,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2018,CML,Marvila,19.57,0.0195701
147226,0265,Avenida Infante Dom Henrique,Loteamento Braço de Prata,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2018,CML,Marvila,7.97,0.00797431
147229,0487,Rua Azedo Gneco,Bairros 30+Bici - Bairro de Campo de Ourique,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campo de Ourique,110.34,0.1103414
147233,0300,Alameda dos Oceanos,,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,Sem dados,CML,Parque das Nações,155.3,0.15530194
147239,0459,Rua Augusto dos Santos,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,45.300000000000004,0.04529558
147240,0459,Rua Augusto dos Santos,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,8.42,0.00841549
147241,0459,Rua Tomás Ribeiro,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,49.6,0.04959835
147242,0459,Rua Pedro Nunes,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,232.75,0.23274881
147243,0459,Rua Pedro Nunes,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,20.11,0.020111940000000002
147244,0459,Rua Pedro Nunes,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,215.8,0.2158023
147245,0690,Rua Francisco Gentil Martins,Rua Francisco Gentil Martins,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2023,CML/DMM; EMEL,Campolide,453.11,0.45310673
147246,0690,Rua Francisco Gentil Martins,Rua Francisco Gentil Martins,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2023,CML/DMM; EMEL,Campolide,16.15,0.01615207
147247,0127,Avenida Columbano Bordalo Pinheiro,Rua Conde de Almoster,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Campolide,21.19,0.0211948
147257,0073,Rua da Palma,Avenida Almirante Reis - Fase 2,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Santa Maria Maior,317.15000000000003,0.31714729
147263,0073,Rua João das Regras-Praça Martim Moniz,Avenida Almirante Reis - Fase 2,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Santa Maria Maior,399.57,0.39957127000000003
147273,0090,Cais Português,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,87.78,0.08777668
147280,0267,Monsanto - Avenida Calouste Gulbenkian,T15A - Monsanto - Avenida Calouste Gulbenkian,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2010,CML/DMEVAE,Campolide,327.14,0.32713611
147290,0083,BTT/Trail 2,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alcântara,2984.48,2.98447608
147291,0083,BTT/Trail 2,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alcântara,879.39,0.87938655
147292,0091,BTT/Trail 3,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Belém,3283.01,3.2830128
147293,0091,BTT/Trail 3,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Ajuda,1376.19,1.37619293
147295,0003,Avenida Cidade de Praga,Avenida Cidade de Praga,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Carnide,296.73,0.29673496
147298,0086,Avenida dos Defensores de Chaves,Avenida Defensores de Chaves,Complementar,Faixa Ciclável,Faixa ciclável (separação visual),Provisória,Executado,2019,CML/DMM,Avenidas Novas,714.62,0.71461663
147302,0057,Circuito Acessível,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Ajuda,1361.9,1.36189864
147303,0057,Circuito Acessível,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,583.65,0.58365089
147304,0057,Circuito Acessível,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,171.69,0.17168777000000002
147306,0393,Eixo Central,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2023,CML,Santa Clara,221.92000000000002,0.22191719000000001
147308,0008,Avenida Paulo VI,Avenida Paulo VI,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Marvila,38.160000000000004,0.0381582
147315,0411,Alameda dos Oceanos,,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMM,Parque das Nações,1434.8,1.4347975
147319,0163,Encosta da Pimenteira - Alcântara,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alcântara,6176.6,6.17659943
147320,0124,Volta do Planalto,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,622.82,0.62281604
