objectid,cod_ciclovia,designacao,nome_projeto,hierarquia,tipologia,nivel_segregacao,tipo_intervencao,situacao,ano,entidade_resp,freguesia,comprimento_m,comp_km
146890,0112,Rua de Nossa Senhora do Amparo,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,156.68,0.15668
146891,0112,Rua do Parque,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,277.06,0.27706
146892,0112,Estrada de A-da-Maia,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,82.95,0.08295
146893,0112,Rua Jaime Brasil,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,64.57000000000001,0.06457
146894,0112,Rua Olivério Serpa,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,139.51,0.13951
146895,0112,Rua Olivério Serpa,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,141.21,0.14121
146896,0112,Rua de Nossa Senhora do Amparo,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,158.43,0.15843
147201,0112,Rua João Frederico Ludovice,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,152.26,0.15226
147202,0112,Rua de Emília das Neves,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,279.08,0.27908
147203,0112,Rua João Frederico Ludovice,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,319.73,0.31973
147204,0112,Rua Olivério Serpa,Bairros 30+Bici - Bairro de Santa Cruz de Benfica,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Benfica,204.38,0.20438
147205,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,16.61,0.01661
147206,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,23.580000000000002,0.02358
147207,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,20.48,0.02048
147208,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,3.31,0.00331
147209,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,12.51,0.01251
147210,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,7.04,0.00704
147211,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,23.78,0.02378
147212,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,13.82,0.01382
147213,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,2.85,0.00285
147214,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,7.74,0.00774
