OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
14698,2,"Avenida Almirante Reis, Igreja",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,1/9/2019 12:00:00 AM,-1016908.12471679,4682266.75467231
14699,3,"Rua da Palma, 270",Santa Maria Maior,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,1/9/2019 12:00:00 AM,-1016971.13768599,4681506.96574514
14700,4,Avenida Infante Dom Henrique,Marvila,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1013115.13276003,4685152.06241458
14701,5,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1012803.95250394,4684936.88613117
14702,6,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1012739.99785907,4684978.60129562
14703,7,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,2/7/2020 12:00:00 AM,-1012716.05801919,4685105.26028685
14704,8,Rua Francisco Stromp,Lumiar,Passeio,BICICLETA,Sheffield standard,5,10,Não,Público,Partilhado com Micromobilidade,,-1019410.70691026,4687857.80597074
14721,9,Parque da Quinta das Conchas e dos Lilases,Lumiar,Passeio,BICICLETA,Onda,1,5,Não,Público,Interdito Micromobilidade,,-1019257.61214706,4688891.56450116
14722,10,"Alameda das Linhas de Torres, 262",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,Não,Público,Partilhado com Micromobilidade,,-1019843.01357512,4689273.85275057
14723,11,"Alameda das Linhas de Torres, 250",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,Não,Público,Partilhado com Micromobilidade,,-1019777.11275503,4689154.47241327
14724,12,"Avenida Gomes Pereira, 15",Benfica,Passeio,BICICLETA,Entorta rodas,1,5,Não,Privado,Interdito Micromobilidade,,-1023866.98711376,4685704.42366052
14725,13,Rua Maria Pia,Campo de Ourique,Passeio,BICICLETA,Onda,1,5,Não,Privado,Interdito Micromobilidade,,-1020870.68105381,4681382.40751852
14726,14,Rua Tomás Ribeiro,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,12/3/2018 12:00:00 AM,-1018241.32298806,4683211.26734341
14727,15,Rua da Venezuela,Benfica,Passeio,BICICLETA,Sheffield estreito,5,10,Não,Público,Partilhado com Micromobilidade,,-1024092.17662357,4685159.50139675
14728,16,"Rua Engº Paulo de Barros, 30
",Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,11/23/2018 12:00:00 AM,-1024915.21658104,4685599.11178406
14729,17,"Rua Tomás de Figueiredo, 2",Benfica,Lugar estacionamento automóvel,BICICLETA,Sheffield estreito,6,12,Não,Público,Partilhado com Micromobilidade,,-1024938.48182512,4685633.02523543
14730,18,"Estrada de Benfica, 701",Benfica,Passeio,BICICLETA,Entorta rodas,2,6,Não,Público,Partilhado com Micromobilidade,,-1024226.17320535,4685967.97730107
14731,19,"Estrada de Benfica, 422",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,,-1022905.27829148,4685554.52085291
14732,20,"Estrada de Benfica, 463",São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,,-1022903.35802035,4685475.96287614
