objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
14698,2,"Avenida Almirante Reis, Igreja",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,3,6,0,Público,Partilhado com Micromobilidade,2019-01-09,-9.13504110978414,38.7243718444445
14699,3,"Rua da Palma, 270",Santa Maria Maior,Via,BICICLETA,Sheffield standard,2,4,0,Público,Partilhado com Micromobilidade,2019-01-09,-9.13560716491746,38.7190467900652
14700,4,Avenida Infante Dom Henrique,Marvila,Passeio,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,2020-02-07,-9.10096808331113,38.7445901887373
14701,5,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,2020-02-07,-9.09817270350955,38.7430825719573
14702,6,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,2020-02-07,-9.09759818915974,38.7433748486716
14703,7,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,2020-02-07,-9.09738313391911,38.7442622757856
14704,8,Rua Francisco Stromp,Lumiar,Passeio,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,,-9.15752218812571,38.7635450648203
14721,9,Parque da Quinta das Conchas e dos Lilases,Lumiar,Passeio,BICICLETA,Onda,1,5,0,Público,Interdito Micromobilidade,,-9.1561469144687,38.7707856508296
14722,10,"Alameda das Linhas de Torres, 262",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,0,Público,Partilhado com Micromobilidade,,-9.1614056649704,38.7734630638493
14723,11,"Alameda das Linhas de Torres, 250",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,0,Público,Partilhado com Micromobilidade,,-9.16081366783117,38.7726269765655
14724,12,"Avenida Gomes Pereira, 15",Benfica,Passeio,BICICLETA,Entorta rodas,1,5,0,Privado,Interdito Micromobilidade,,-9.19755363429694,38.7484601213855
14725,13,Rua Maria Pia,Campo de Ourique,Passeio,BICICLETA,Onda,1,5,0,Privado,Interdito Micromobilidade,,-9.17063735900139,38.7181737737969
14726,14,Rua Tomás Ribeiro,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,2018-12-03,-9.14701743362255,38.7309909998417
14727,15,Rua da Venezuela,Benfica,Passeio,BICICLETA,Sheffield estreito,5,10,0,Público,Partilhado com Micromobilidade,,-9.19957654608185,38.7446423088487
14728,16,"Rua Engº Paulo de Barros, 30",Benfica,Passeio,BICICLETA,Sheffield standard,3,6,0,Público,Partilhado com Micromobilidade,2018-11-23,-9.20697003981417,38.7477223054495
