freguesia,n_estacionamentos,capacidade_total,num_suportes_total,capacidade_media,n_mobilidade,capacidade_mobilidade,num_suportes_mobilidade,capacidade_media_mobilidade,km_rede_ciclavel,n_segmentos_ciclavel,estac_por_km_ciclavel,capacidade_por_km_ciclavel
Ajuda,42,402,85,9.57,42,402,85,9.57,7.167,11,5.86,56.09
Alcântara,72,711,161,9.88,71,705,158,9.93,20.695,37,3.48,34.36
Alvalade,238,1904,766,8.00,235,1880,761,8.00,16.737,74,14.22,113.76
Areeiro,93,790,363,8.49,90,773,356,8.59,8.660,56,10.74,91.23
Arroios,134,1016,369,7.64,133,1012,367,7.61,6.515,15,20.57,155.95
Avenidas Novas,228,1874,598,8.40,200,1675,506,8.38,28.598,146,7.97,65.53
Beato,39,347,69,9.13,39,347,69,8.90,5.526,29,7.06,62.79
Belém,94,783,290,8.33,98,766,295,7.82,17.720,23,5.30,44.19
Benfica,96,836,195,8.71,90,790,176,8.78,41.246,83,2.33,20.27
Campo de Ourique,67,596,132,8.90,65,582,124,8.95,5.360,29,12.50,111.19
Campolide,71,801,245,11.44,67,770,237,11.49,17.853,81,3.98,44.87
Carnide,48,342,126,7.28,47,336,126,7.15,9.788,49,4.90,34.94
Estrela,83,715,132,8.61,83,715,132,8.61,4.129,7,20.10,173.15
Lumiar,166,1337,548,8.05,164,1326,544,8.09,15.429,62,10.76,86.66
Marvila,122,1087,263,8.91,122,1087,263,8.91,18.787,75,6.49,57.86
Misericórdia,64,586,149,9.30,62,565,141,9.11,1.514,8,42.26,386.93
Olivais,116,1055,240,9.09,113,1016,227,8.99,19.300,56,6.01,54.66
Parque das Nações,109,1144,356,10.59,99,1065,318,10.76,18.417,100,5.92,62.12
Penha de França,38,293,103,7.92,37,282,100,7.62,1.022,4,37.19,286.78
Santa Clara,43,344,65,8.19,39,316,51,8.10,4.199,29,10.24,81.92
Santa Maria Maior,34,265,115,7.79,34,261,112,7.68,3.361,14,10.12,78.84
Santo António,90,797,195,8.86,86,772,185,8.98,2.831,7,31.79,281.52
São Domingos de Benfica,104,759,315,7.30,104,759,315,7.30,12.628,27,8.24,60.11
São Vicente,18,138,55,8.12,17,128,55,7.53,0.903,2,19.93,152.79
