OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
14698,2,"Avenida Almirante Reis, Igreja",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,3,6,Não,Público,Partilhado com Micromobilidade,01/09/2019,-1016908.1247168,4682266.7546723
14699,3,"Rua da Palma, 270",Santa Maria Maior,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,01/09/2019,-1016971.1376860,4681506.9657451
14700,4,Avenida Infante Dom Henrique,Marvila,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,02/07/2020,-1013115.1327600,4685152.0624146
14701,5,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,02/07/2020,-1012803.9525039,4684936.8861312
14702,6,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,02/07/2020,-1012739.9978591,4684978.6012956
14703,7,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,Público,Partilhado com Micromobilidade,02/07/2020,-1012716.0580192,4685105.2602868
14704,8,Rua Francisco Stromp,Lumiar,Passeio,BICICLETA,Sheffield standard,5,10,Não,Público,Partilhado com Micromobilidade,,-1019410.7069103,4687857.8059707
14721,9,Parque da Quinta das Conchas e dos Lilases,Lumiar,Passeio,BICICLETA,Onda,1,5,Não,Público,Interdito Micromobilidade,,-1019257.6121471,4688891.5645012
14722,10,"Alameda das Linhas de Torres, 262",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,Não,Público,Partilhado com Micromobilidade,,-1019843.0135751,4689273.8527506
14723,11,"Alameda das Linhas de Torres, 250",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,Não,Público,Partilhado com Micromobilidade,,-1019777.1127550,4689154.4724133
14724,12,"Avenida Gomes Pereira, 15",Benfica,Passeio,BICICLETA,Entorta rodas,1,5,Não,Privado,Interdito Micromobilidade,,-1023866.9871138,4685704.4236605
14725,13,Rua Maria Pia,Campo de Ourique,Passeio,BICICLETA,Onda,1,5,Não,Privado,Interdito Micromobilidade,,-1020870.6810538,4681382.4075185
14726,14,Rua Tomás Ribeiro,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,12/03/2018,-1018241.3229881,4683211.2673434
14727,15,Rua da Venezuela,Benfica,Passeio,BICICLETA,Sheffield estreito,5,10,Não,Público,Partilhado com Micromobilidade,,-1024092.1766236,4685159.5013968
14728,16,"Rua Engº Paulo de Barros, 30",,,,Desconhecido,0,0,Não,,,,0.0000000,0.0000000
