objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
14698,2,"Avenida Almirante Reis, Igreja",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,3,6,0,Público,Partilhado com Micromobilidade,09/01/2019,-9.1350411,38.7243718
14699,3,"Rua da Palma, 270",Santa Maria Maior,Via,BICICLETA,Sheffield standard,2,4,0,Público,Partilhado com Micromobilidade,09/01/2019,-9.1356072,38.7190468
14700,4,Avenida Infante Dom Henrique,Marvila,Passeio,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,07/02/2020,-9.1009681,38.7445902
14701,5,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,07/02/2020,-9.0981727,38.7430826
14702,6,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,07/02/2020,-9.0975982,38.7433748
14703,7,Rua Cintura do Porto de Lisboa,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,07/02/2020,-9.0973831,38.7442623
14704,8,Rua Francisco Stromp,Lumiar,Passeio,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,,-9.1575222,38.7635451
14721,9,Parque da Quinta das Conchas e dos Lilases,Lumiar,Passeio,BICICLETA,Onda,1,5,0,Público,Interdito Micromobilidade,,-9.1561469,38.7707857
14722,10,"Alameda das Linhas de Torres, 262",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,0,Público,Partilhado com Micromobilidade,,-9.1614057,38.7734631
14723,11,"Alameda das Linhas de Torres, 250",Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,0,Público,Partilhado com Micromobilidade,,-9.1608137,38.7726270
