rank,freguesia,capacidade_total,n_estacionamentos,capacidade_media,n_mobilidade,capacidade_mobilidade,km_rede_ciclavel,capacidade_por_km_ciclavel
1,Alvalade,1904,238,8.00,235,1880,16.74,113.76
2,Avenidas Novas,1874,228,8.40,200,1675,28.60,65.53
3,Lumiar,1337,166,8.05,164,1326,15.43,86.66
4,Parque das Nações,1144,109,10.59,99,1065,18.42,62.12
5,Marvila,1087,122,8.91,122,1087,18.79,57.86
6,Olivais,1055,116,9.09,113,1016,19.30,54.66
7,Arroios,1016,134,7.64,133,1012,6.52,155.95
8,Benfica,836,96,8.71,90,790,41.25,20.27
9,Campolide,801,71,11.44,67,770,17.85,44.87
10,Santo António,797,90,8.86,86,772,2.83,281.52
11,Areeiro,790,93,8.49,90,773,8.66,91.23
12,Belém,783,94,8.33,98,766,17.72,44.19
13,São Domingos de Benfica,759,104,7.30,104,759,12.63,60.11
14,Estrela,715,83,8.61,83,715,4.13,173.15
15,Alcântara,711,72,9.88,71,705,20.69,34.36
16,Campo de Ourique,596,67,8.90,65,582,5.36,111.19
17,Misericórdia,586,64,9.30,62,565,1.51,386.93
18,Ajuda,402,42,9.57,42,402,7.17,56.09
19,Beato,347,39,9.13,39,347,5.53,62.79
20,Santa Clara,344,43,8.19,39,316,4.20,81.92
21,Carnide,342,48,7.28,47,336,9.79,34.94
22,Penha de França,293,38,7.92,37,282,1.02,286.78
23,Santa Maria Maior,265,34,7.79,34,261,3.36,78.84
24,São Vicente,138,18,8.12,17,128,0.90,152.79
